system:index,area_km2,length_km,site_no,site_no_spec,sum,.geo
0000000000000000001f,0.11887899272714812,2.8187329411764708,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_1,31.319254901960786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,0.647942498305178,4.394357647058821,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_3,48.82619607843135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,0.533918588024949,6.555441176470584,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_4,72.8382352941176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,0.4613792149253364,3.6783917647058813,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_5,40.871019607843124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,0.03718572010512615,1.2906352941176469,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_6,14.340392156862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,0.19505842041819918,2.635658823529412,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_7,29.28509803921569,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,0.05488332180027055,1.2728329411764705,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_8,14.142588235294117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,0.39044885629456966,2.9744611764705886,peru_rio_quimiri_downstream,peru_rio_quimiri_downstream_9,33.04956862745099,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,8.608716021045772,73.82021647058842,russia_koryak_plateau,russia_koryak_plateau_1,820.2246274509824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,4.252056919556868,34.011497647058896,russia_koryak_plateau,russia_koryak_plateau_2,377.9055294117655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,6.499111706399312,47.79326823529432,russia_koryak_plateau,russia_koryak_plateau_3,531.0363137254925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,0.10414315170955109,1.0638776470588234,mozambique_manica_TSTM,mozambique_manica_TSTM_1,11.820862745098038,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,0.13690803396942489,1.5356576470588235,mozambique_manica_TSTM,mozambique_manica_TSTM_2,17.062862745098037,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,0.1672727474335352,2.8742117647058825,mozambique_manica_TSTM,mozambique_manica_TSTM_3,31.93568627450981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,0.8081292289965265,6.025302352941173,mozambique_manica_TSTM,mozambique_manica_TSTM_4,66.94780392156859,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,0.13271135429663547,1.7560835294117645,mozambique_manica_TSTM,mozambique_manica_TSTM_5,19.512039215686272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,0.4769035577050813,4.1565282352941155,mozambique_manica_TSTM,mozambique_manica_TSTM_6,46.18364705882351,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,0.03130165902352734,0.73206,mozambique_manica_TSTM,mozambique_manica_TSTM_7,8.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,0.03392095869158205,0.6114352941176471,mozambique_manica_TSTM,mozambique_manica_TSTM_8,6.793725490196079,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,0.0720854944184624,1.1158835294117646,mozambique_manica_TSTM,mozambique_manica_TSTM_9,12.39870588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,0.06806342806719257,0.8694599999999999,mozambique_manica_TSTM,mozambique_manica_TSTM_10,9.660666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
