system:index,area_km2,length_km,site_no,site_no_spec
0_00000000000000000034,0.0554111407014773,0.598542352941176,mozambique_manica_TSTM,mozambique_manica_TSTM
0_00000000000000000035,0.354607756372437,2.11562823529412,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_00000000000000000036,0.571989608219329,3.69030352941176,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_00000000000000000037,1.12324942569241,4.99627411764706,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_00000000000000000038,0.251904603018991,2.44426235294118,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_00000000000000000039,0.116621050654864,1.28278235294118,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_0000000000000000003a,0.062829182659839,0.85728705882353,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_0000000000000000003b,0.0109405272122668,0.283898823529412,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_0000000000000000003c,0.126600392077193,1.83604941176471,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_0000000000000000003d,1.68501116053636,7.89683294117647,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM
0_0000000000000000003e,1.25509415650319,10.3630023529412,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_0000000000000000003f,0.103990232711185,1.79647058823529,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000040,0.0587055599384753,1.06191882352941,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000041,0.130434112963455,0.998904705882353,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000042,0.58300342581499,5.07182117647059,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000043,0.910064495713855,3.96260117647059,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000044,0.426788742808704,5.51028705882353,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000045,0.208626024966313,2.53741411764706,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000046,0.0390422421090772,0.673627058823529,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000047,0.0209945836126217,0.609116470588235,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000048,0.00897165069859881,0.0656894117647059,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_00000000000000000049,0.00307230392306321,0.0187058823529412,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_0000000000000000004a,0.00132460686804728,0.0607058823529412,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region
0_0000000000000000004b,0.660818106014619,8.50329529411764,russia_tumnin_tributary_agm_region_TSTM,russia_tumnin_tributary_agm_region_TSTM
0_0000000000000000004c,2.68445654201996,27.5738964705882,russia_edakuy_agm_region_TSTM,russia_edakuy_agm_region_TSTM
0_0000000000000000004d,1.15481506046982,8.34764823529411,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_0000000000000000004e,0.112429853445038,1.03002705882353,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_0000000000000000004f,0.0297913875626801,0.370912941176471,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000050,0.285025600727725,4.41752470588235,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
