Month,USD,EUR,GBP,JPY
12/31/69,35.2,22.24,14.66,12592.44
1/30/70,34.99,23.2,14.54,12496.35
2/27/70,35.02,23.26,14.55,12529.95
3/31/70,35.3,23.42,14.67,12627.65
4/30/70,35.85,23.79,14.93,12858.36
5/29/70,35.45,23.54,14.8,12757.88
6/30/70,35.49,23.55,14.85,12764.72
7/31/70,35.3,23.45,14.81,12728.16
8/31/70,35.8,23.58,14.99,12799.92
9/30/70,36.4,23.98,15.23,13018.66
10/30/70,37.25,24.58,15.6,13341.25
11/30/70,37.54,24.71,15.69,13403.93
12/31/70,37.38,24.41,15.46,13239.03
1/29/71,38.05,25.09,15.75,13613.21
2/26/71,38.8,25.58,16.06,13867.1
3/31/71,38.88,25.61,16.08,13892.95
4/30/71,39.7,26.14,16.41,14188.38
5/31/71,40.84,26.9,16.89,14594.98
6/30/71,40.1,26.39,16.57,14328.74
7/30/71,42.4,27.92,17.53,15153.74
8/31/71,40.65,26.1,16.53,13538.98
9/30/71,42.6,27.39,17.15,14059.41
10/29/71,42.34,27.22,17,13957.5
11/30/71,43.6,27.93,17.48,14250.08
12/31/71,43.55,27.06,17.06,13691.48
1/31/72,47.15,28.99,18.18,14624.17
2/29/72,48.2,29.51,18.49,14619.8
3/31/72,48.38,29.36,18.5,14695.64
4/28/72,49.6,30.17,19,15092.19
