system:index,area_km2,length_km,site_no,sum,.geo
0000000000000000002e,0.426788743,5.510287059,cameroon_kadei_river_batouri_agm_region_7,61.22541176,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,0.208626025,2.537414118,cameroon_kadei_river_batouri_agm_region_8,28.1934902,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.039042242,0.673627059,cameroon_kadei_river_batouri_agm_region_9,7.484745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.020994584,0.609116471,cameroon_kadei_river_batouri_agm_region_10,6.767960784,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.008971651,0.065689412,cameroon_kadei_river_batouri_agm_region_11,0.729882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.003072304,0.018705882,cameroon_kadei_river_batouri_agm_region_12,0.207843137,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.001324607,0.060705882,cameroon_kadei_river_batouri_agm_region_13,0.674509804,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.660818106,8.503295294,russia_tumnin_tributary_agm_region_TSTM_1,94.48105882,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2.684456542,27.57389647,russia_edakuy_agm_region_TSTM_1,306.3766275,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1.15481506,8.347648235,myanmar_kawbyin_agm_region_TSTM_1,92.75164706,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.112429853,1.030027059,myanmar_kawbyin_agm_region_TSTM_2,11.4447451,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.029791388,0.370912941,myanmar_kawbyin_agm_region_TSTM_3,4.121254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,0.285025601,4.417524706,myanmar_kawbyin_agm_region_TSTM_4,49.08360784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,0.100623103,1.946911765,myanmar_kawbyin_agm_region_TSTM_5,21.63235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,0.079510998,1.770928235,myanmar_kawbyin_agm_region_TSTM_6,19.67698039,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,0.003949761,0.406076471,myanmar_kawbyin_agm_region_TSTM_7,4.511960784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,0.006329566,0.327487059,myanmar_kawbyin_agm_region_TSTM_8,3.638745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,0.721824833,7.963037647,myanmar_kawbyin_agm_region_TSTM_9,88.47819608,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.020150276,0.561282353,myanmar_kawbyin_agm_region_TSTM_10,6.236470588,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.114703277,1.792863529,myanmar_kawbyin_agm_region_TSTM_11,19.92070588,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.06050947,0.727810588,drc_lindi_river_upper_agm_region_1,8.086784314,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.00870732,0.095548235,drc_lindi_river_upper_agm_region_2,1.061647059,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.37E-04,0,drc_lindi_river_upper_agm_region_3,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.002672097,0.182332941,drc_lindi_river_upper_agm_region_4,2.025921569,"{""type"":""MultiPoint"",""coordinates"":[]}"
